Time (Sec);S1;S2;S4;S6;S8;
26.826666666666785;19160.0;19159.997599999973;19159.997599999973;19159.987308799973;19159.997599999973;
26.926666666666787;19160.0;19159.997599999973;19159.997599999973;19159.987308799973;19159.997599999973;
27.026666666666788;19160.0;19159.997599999973;19159.997599999973;19159.987308799973;19159.997599999973;
27.12666666666679;19160.0;19159.997599999973;19159.997599999973;19159.987308799973;19159.997599999973;
27.22666666666679;19160.0;19159.997599999973;19159.997599999973;19159.987308799973;19159.997599999973;
27.326666666666792;19160.0;19159.997599999973;19159.997599999973;19159.987308799973;19159.997599999973;
27.426666666666794;19160.0;19159.997599999973;19159.997599999973;19159.987308799973;19159.997599999973;
27.52666666666679;19160.0;19159.997599999973;19159.997599999973;19159.987208799972;19159.997599999973;
27.626666666666793;19160.0;19159.997499999972;19159.997499999972;19159.987208799972;19159.997499999972;
27.726666666666794;19160.0;19159.997499999972;19159.997499999972;19159.987208799972;19159.997499999972;
27.826666666666796;19160.0;19159.997499999972;19159.997499999972;19159.987208799972;19159.997499999972;
27.926666666666797;19160.0;19159.997499999972;19159.997499999972;19159.987208799972;19159.997499999972;
28.0266666666668;19160.0;19159.997499999972;19159.997499999972;19159.987208799972;19159.997499999972;
28.1266666666668;19160.0;19159.997499999972;19159.997499999972;19159.987208799972;19159.997499999972;
28.2266666666668;19160.0;19159.997499999972;19159.997499999972;19159.987208799972;19159.997499999972;
28.326666666666803;19160.0;19159.997499999972;19159.997499999972;19159.987208799972;19159.997499999972;
28.426666666666804;19160.0;19159.997499999972;19159.997499999972;19159.987208799972;19159.997499999972;
28.526666666666806;19160.0;19159.997499999972;19159.997499999972;19159.987208799972;19159.997499999972;
28.626666666666804;19160.0;19159.997499999972;19159.997499999972;19159.98710879997;19159.997499999972;
28.726666666666805;19160.0;19159.99739999997;19159.99739999997;19159.98710879997;19159.99739999997;
28.826666666666807;19160.0;19159.99739999997;19159.99739999997;19159.98710879997;19159.99739999997;
28.926666666666808;19160.0;19159.99739999997;19159.99739999997;19159.98710879997;19159.99739999997;
29.02666666666681;19160.0;19159.99739999997;19159.99739999997;19159.98710879997;19159.99739999997;
29.12666666666681;19160.0;19159.99739999997;19159.99739999997;19159.98710879997;19159.99739999997;
29.226666666666812;19160.0;19159.99739999997;19159.99739999997;19159.98710879997;19159.99739999997;
